ZIP,NAME,FACILITY_TYPE,latitude,longitude
33178,Ronald W. Reagan/Doral Senior High,Public School,25.85259,-80.37145
33135,Auburndale Elementary,Public School,25.76693,-80.2481
33133,George Washington Carver Middle,Public School,25.7259,-80.25896
33127,Eneida Massas Hartner Elementary,Public School,25.80407,-80.20201
33125,Citrus Grove K-8 Center,Public School,25.77657,-80.23009
33180,Ojus Elementary,Public School,25.94785,-80.14934
33142,Pace Center for Girls,Public School,25.8094,-80.22019
33013,Hialeah Senior High,Public School,25.86544,-80.27776
33177,Transportation Center Southwest,Public School,25.62386,-80.38072
33150,Holmes Elementary,Public School,25.83604,-80.21618
33161,Linda Lentin K-8 Center,Public School,25.90685,-80.19435
33147,C.O.P.E. Center North,Public School,25.86577,-80.23046
33166,Federal & State Compliance Office,Public School,25.81112,-80.27255
33178,Central Region Office,Public School,25.81949,-80.37661
33176,Kendale Elementary,Public School,25.68314,-80.36618
33155,Banyan Elementary,Public School,25.74118,-80.33393
33018,Ernest R. Graham K-8 Center,Public School,25.88798,-80.34864
33155,Sylvania Heights Elementary,Public School,25.75711,-80.29249
33157,Robert Russa Moton Elementary,Public School,25.60216,-80.35587
33145,Coral Way K-8 Center,Public School,25.75368,-80.21779
33168,Gratigny Elementary,Public School,25.88507,-80.198
33127,MDCPS Police Center,Public School,25.83184,-80.20071
33193,Christina M. Eve PLC - N,Public School,25.6991,-80.4551
33147,D.A. Dorsey Technical College,Public School,25.83956,-80.22567
33055,Miami Gardens Elementary,Public School,25.95033,-80.27531
33054,North Dade Center Middle,Public School,25.91677,-80.23161
33182,Marjory Stoneman Douglas PLC-F,Public School,25.77351,-80.40939
33030,Neva King Cooper Educational Center,Public School,25.47452,-80.48044
33157,Coral Reef Elementary,Public School,25.62981,-80.32251
33018,Hialeah Gardens Elementary PLC- B,Public School,25.88979,-80.35737
33143,South Miami K-8 Center,Public School,25.71397,-80.30592
33139,Miami Beach Senior High,Public School,25.79875,-80.13311
33018,Bob Graham Education Center PLC-H,Public School,25.90372,-80.34396
33010,Hialeah Elementary,Public School,25.82923,-80.27051
33142,Orchard Villa Elementary,Public School,25.82778,-80.21905
33012,Westland Hialeah Senior High,Public School,25.85792,-80.31894
33180,Aventura Waterways K-8 Center,Public School,25.97057,-80.14945
33186,Calusa Elementary,Public School,25.67903,-80.41225
33054,Golden Glades Elementary,Public School,25.92504,-80.24712
33033,Center For International Education: A Cambridge A S,Public School,25.47822,-80.4455
33177,Jack D. Gordon Elementary Manatee PLC-T,Public School,25.62287,-80.42222
33147,Madison Middle,Public School,25.85236,-80.25328
33125,Kensington Park Elementary,Public School,25.78061,-80.24328
33030,Avocado Elementary,Public School,25.49404,-80.46612
33030,Homestead Middle,Public School,25.47635,-80.48187
33178,Dr. Toni Bilbao Preparatory Academy,Public School,25.85408,-80.38253
33169,Norwood Elementary,Public School,25.95577,-80.22747
33165,Pre-K Intervention,Public School,25.71688,-80.34454
33132,School Board Adm - Annex,Public School,25.78977,-80.18951
33189,Dr. Edward L. Whigham PLC-E,Public School,25.58537,-80.32497
33176,Dorothy M. Wallace C.O.P.E. Center,Public School,25.63287,-80.35879
33010,South Hialeah Elementary,Public School,25.82674,-80.27662
33182,Transportation Center Central West,Public School,25.77325,-80.41842
33150,Thena C. Crowder Early Childhood Diagnostic SP ED,Public School,25.83546,-80.20989
33013,North Region Office,Public School,25.87494,-80.2683
33185,John A. Ferguson Senior High,Public School,25.71266,-80.45107
33055,North Glade Elementary,Public School,25.93388,-80.28294
33142,Melrose Elementary,Public School,25.80769,-80.24524
33013,Flamingo Elementary,Public School,25.85298,-80.26785
33157,Whispering Pines Elementary,Public School,25.591,-80.33577
33055,Lake Stevens Middle,Public School,25.94115,-80.28224
33142,Charles R. Drew K-8 Center,Public School,25.83023,-80.22627
33185,G. Holmes Braddock Senior High,Public School,25.73409,-80.43104
33173,"Early Childhood, ESE and Tiitle",Public School,25.69832,-80.3729
33054,Transportation Center North,Public School,25.9201,-80.2688
33035,Gateway Environmental K-8 Learning Center,Public School,25.4609,-80.45073
33185,Dr. Manuel C. Barreiro Elementary,Public School,25.7175,-80.45499
33126,Charles R. Hadley PLC-A,Public School,25.77616,-80.33282
